resource,accession,c1,c2,c3,c4,c5,c6,decided_by,outcome,evidence,note
NeurIPS 2021 multimodal benchmark,GSE194122,no,yes,yes,unknown,unknown,yes,economics,rejected,agent,the cleanest nested donor-by-site layout found anywhere; excluded because in CITE-seq the RNA modality is not cheaper than the ADT panel and both come from one assay so there is no cheap-substitutes-for-expensive gap
Perturb-CITE-seq,SCP1064,no,yes,yes,yes,unknown,unknown,economics,rejected,agent,no cheap-substitutes-for-expensive gap
ECCITE-seq,GSE153056,no,yes,yes,yes,unknown,unknown,economics,rejected,agent,no cheap-substitutes-for-expensive gap
Mantis,S-BIAD1287,unknown,unknown,unknown,unknown,unknown,unknown,independence,rejected,agent,same laboratory and platform as the source atlas and organised as five study components named Figure 1 to Figure 5 so it is a figure-reproduction deposit rather than a screen
holotomography paired with fluorescence,,unknown,unknown,unknown,unknown,unknown,unknown,none,absent,searched,no public accession located; Tomocube Nanolive and KAIST lineage
PICS or SLIM paired phase and fluorescence,,unknown,unknown,unknown,unknown,unknown,unknown,none,absent,searched,no public accession located; Popescu lab
stimulated or hyperspectral Raman with immunofluorescence,,unknown,unknown,unknown,unknown,unknown,unknown,none,absent,searched,no public accession located
correlative light and electron microscopy with a perturbation panel,,unknown,unknown,unknown,unknown,unknown,unknown,none,absent,searched,no public accession located
BSCCM,10.5061/dryad.sxksn038s,yes,yes,unknown,unknown,unknown,unknown,none,unverified,unverified,244.8 GB in 4 GB chunks with no standalone per-cell index; whether CD16 CD45 CD123 HLA-DR and CD14 are co-measured per cell needs BSCCM-tiny extracted. The only candidate that could supply several chemically independent targeted readouts on a genuinely label-free input
SciLifeLab brightfield MoA,10.17044/scilifelab.21378906,yes,unknown,unknown,yes,unknown,unknown,none,unverified,unverified,reported as 6 brightfield z-planes plus 5 Cell Painting channels in U2OS over 231 compounds and 18 plates; if it holds it is the open twin of the Cross-Zamirski precedent. Not opened
4i CAMPA,Zenodo 7299516,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
Cytoland,S-BIAD1702,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
Funk Vesuvius,S-BIAD394 S-BIAD693 S-BIAD3221,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
Carlson IRF3,,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
CRISPRmap,S-BIAD985,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
idr0097-reicher-proteintag,idr0097,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
VIRVS,,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
Olszewski,idr0128 idr0129 idr0130,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
idr0065-camsund-crispri,idr0065,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
Orion,,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
Allen WTC-11 single-cell image dataset,,unknown,unknown,unknown,unknown,unknown,unknown,none,unverified,unverified,discovery pass only
