stage	scientific_purpose	public_entry_point	frozen_contract	canonical_inputs	canonical_outputs	statistical_unit	release_status
reference_training	Fit every frozen specialist, shared or biological predictor on one common fold	studies/ops/runners/full_label/run.py	configs/ops/methods/final_ten.yaml; studies/ops/runners/full_label/internal_methods.json; configs/ops/methods/biological_runners.json	172D inputs; sparse observed targets; immutable split assignments	canonical held-out predictions; validation trajectory; selected checkpoint; provenance	observation-endpoint	executable unified ten-method facade for Ridge, GBDT, CatBoost, MLP, TabM, scButterfly, ResMLP, MultiTab, MIDAS and scPair
external_training	Fit scButterfly, MIDAS and scPair through pinned study-runner contracts	studies/ops/runners/run_external_fold.py	configs/ops/methods/biological_runners.json; studies/ops/model_sources.yaml	canonical inputs; sparse targets; frozen split assignments	canonical long predictions; validation trajectory; selected checkpoints	observation-endpoint	executable contract-check, CPU smoke and CUDA formal-fold paths
prediction_export	Align every method to one auditable long prediction contract	measurement-sufficiency predict	studies/ops/schemas/tables.md	test inputs; optional labels; fitted model	predictions long table	observation-endpoint	executable
full_label_benchmark	Compare predictors under the same labels and held-out tests	studies/ops/runners/full_label/materialize_fold.py; studies/ops/runners/full_label/run.py; measurement-sufficiency metrics	configs/ops/protocols/full_label.yaml; configs/ops/methods/final_ten.yaml	canonical public release; common materialized folds	aligned ten-method predictions; cell and perturbation metrics	reporter; screen; reporter-screen assay	executable end-to-end for field, gene and strict whole-screen assignments
low_label	Compare exact nested label budgets without test exposure	studies/ops/runners/low_label/build_sampling.py; studies/ops/runners/low_label/run.py	configs/ops/protocols/low_label.yaml; studies/ops/runners/low_label/legacy_exact/configs	verified OPS assets; full-label identity/preprocessing references; frozen split	low-label sampling manifest; model predictions and metrics	training observation; reporter; gene	executable study runners for classical, specialist, generic-transfer, biological and scPair routes; caller supplies public data and upstream source paths
image_representation	Compare frozen or adapted raw-phase representations to declared tabular morphology	studies/ops/runners/raw_image/build_plan.py; studies/ops/runners/raw_image/run_plan.py	configs/ops/protocols/image.yaml; studies/ops/runners/raw_image/configs; studies/ops/model_sources.yaml	verified public image locations; exact-cell caches; frozen gene folds; caller-supplied public checkpoints	representation predictions and cell/gene metrics	reporter-gene-fold	executable crop, embedding, frozen-head and Cytoland partial-fine-tuning runners; preflight and CPU smoke included
ten_method_consensus	Summarize aligned model estimates without treating models as replicates	src/measurement_sufficiency/consensus.py	configs/ops/methods/final_ten.yaml	ten aligned prediction rows per key	unweighted median predictions	observation-endpoint	executable after ten predictions
same_cell_falsification	Test whether exact-cell information exceeds group and coarse-morphology shortcuts	studies/ops/runners/same_cell/build_plan.py; studies/ops/runners/same_cell/run_plan.py	configs/ops/protocols/same_cell.yaml	phase172 cache; exact reporter caches; target table; target-feature dictionary	all-52 five-fold six-arm MLP results; intervention audits; cell and gene metrics	reporter	executable all-reporter campaign with plan validation, resume, dry-run and CPU contract smoke
response_fidelity	Separate gene-magnitude ranking, amplitude, top-5% hit recall and within-gene profile fidelity, all on the Euclidean norm of the control-relative endpoint vector	studies/ops/workflows/03_response_fidelity.py	configs/ops/figures/figure4.yaml	canonical predictions carrying an explicit is_control column	control-relative responses; per-gene magnitudes; magnitude Spearman; variance ratio; top5pct_recall; profile fidelity	reporter; perturbation gene	executable
stability	Quantify replicate and guide-half constraints	studies/ops/workflows/04_stability.py	configs/ops/figures/figure5.yaml	replicate and guide-partition tables	stability metrics	reporter	executable
environment_shift	Associate destination-screen shifts with transfer loss, defined as held-out-gene minus strict whole-screen knockout-response Pearson	studies/ops/workflows/05_environment_shift.py	configs/ops/figures/figure5.yaml	one row per directed evaluation carrying both the within-environment and the strict whole-screen metric	transfer-loss table; cluster-permutation association per shift predictor	reporter-destination-screen	executable
conditional_ambiguity	Measure target variation remaining within matched input neighbourhoods	src/measurement_sufficiency/analysis/conditional_ambiguity.py	configs/ops/figures/figure5.yaml	matched-neighbour target table	ambiguity metrics	target-screen-gene	executable primitive
assay_deletion	Test whether downstream biological utility survives removal of a targeted assay	src/measurement_sufficiency/analysis/counterfactual.py	configs/ops/figures/figure6.yaml	assay features; downstream evaluator; provenance	utility retention table	reporter with nested biological units	executable primitive
measurement_tiers	Assign OPS-specific measurement decisions from frozen evidence thresholds	studies/ops/workflows/06_tiers.py	configs/ops/protocols/measurement_tiers.yaml	reporter evidence table (external input: recoverability_r, magnitude_spearman, variance_ratio, top5pct_recall, reliability); no in-repo stage produces it	measurement-tier table	reporter	executable
figure_sources	Validate the canonical source tables required by Figures 1-6	studies/ops/figures/_renderer.py	configs/ops/figures/figure1.yaml through figure6.yaml	logical source-table manifest	validated in-memory tables	declared per panel	executable
camera_ready_figures	Rebuild the six main manuscript figures from their source packages	paper/figure_sources/final/build_all.ps1	paper/figure_sources/README.md	bundled frozen source tables plus registered binary inputs from the tagged release asset	PDF; SVG; PNG; source tables; QA; hashes	declared per panel	executable with the documented figure dependencies
